Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
29/10/2025,23:40:00,60.15,60.15,60.15,60.15,5,3,0,5
29/10/2025,23:41:00,60.15,60.16,60.15,60.16,10,9,5,5
29/10/2025,23:42:00,60.16,60.17,60.16,60.17,5,5,4,1
29/10/2025,23:44:00,60.17,60.17,60.16,60.16,4,4,3,1
29/10/2025,23:45:00,60.17,60.18,60.17,60.17,8,8,5,3
29/10/2025,23:46:00,60.17,60.17,60.16,60.16,7,7,7,0
29/10/2025,23:47:00,60.17,60.17,60.16,60.16,9,9,6,3
29/10/2025,23:48:00,60.16,60.16,60.16,60.16,3,3,0,3
29/10/2025,23:49:00,60.16,60.18,60.16,60.17,17,16,5,12
29/10/2025,23:50:00,60.17,60.18,60.16,60.16,5,5,4,1
29/10/2025,23:51:00,60.17,60.2,60.17,60.2,31,22,13,18
29/10/2025,23:52:00,60.2,60.2,60.19,60.19,39,31,13,25
29/10/2025,23:53:00,60.19,60.19,60.19,60.19,12,10,12,0
29/10/2025,23:54:00,60.19,60.19,60.18,60.18,8,7,8,0
29/10/2025,23:55:00,60.19,60.19,60.18,60.19,18,14,11,7
29/10/2025,23:56:00,60.19,60.2,60.19,60.19,6,6,3,3
29/10/2025,23:57:00,60.19,60.19,60.19,60.19,1,1,1,0
29/10/2025,23:58:00,60.19,60.2,60.17,60.2,29,24,12,17
29/10/2025,23:59:00,60.21,60.24,60.21,60.23,41,35,8,33
30/10/2025,00:00:00,60.24,60.27,60.23,60.26,176,155,94,81
30/10/2025,00:01:00,60.27,60.35,60.27,60.34,160,150,50,105
30/10/2025,00:02:00,60.35,60.4,60.33,60.39,103,97,43,60
30/10/2025,00:03:00,60.39,60.39,60.35,60.36,41,40,26,15
30/10/2025,00:04:00,60.37,60.42,60.37,60.41,61,56,21,40
30/10/2025,00:05:00,60.42,60.43,60.4,60.42,36,34,20,16
30/10/2025,00:06:00,60.41,60.41,60.37,60.38,16,16,15,1
30/10/2025,00:07:00,60.39,60.39,60.36,60.37,19,19,13,6
30/10/2025,00:08:00,60.38,60.38,60.37,60.37,7,7,4,3
30/10/2025,00:09:00,60.38,60.38,60.37,60.37,3,3,1,2
30/10/2025,00:10:00,60.36,60.36,60.36,60.36,4,4,2,2
30/10/2025,00:11:00,60.35,60.36,60.34,60.34,7,7,7,0
30/10/2025,00:12:00,60.35,60.35,60.32,60.32,16,16,15,1
30/10/2025,00:13:00,60.31,60.31,60.3,60.3,18,18,8,10
30/10/2025,00:14:00,60.3,60.3,60.3,60.3,12,9,6,6
30/10/2025,00:15:00,60.29,60.3,60.29,60.29,15,15,7,8
30/10/2025,00:16:00,60.3,60.31,60.29,60.3,20,19,16,4
30/10/2025,00:17:00,60.3,60.3,60.29,60.29,7,7,5,2
30/10/2025,00:19:00,60.29,60.3,60.27,60.28,17,16,10,7
30/10/2025,00:20:00,60.28,60.28,60.25,60.25,25,25,20,5
30/10/2025,00:21:00,60.26,60.29,60.26,60.28,18,18,5,13
30/10/2025,00:22:00,60.29,60.31,60.29,60.31,17,16,9,6
30/10/2025,00:23:00,60.31,60.32,60.3,60.31,17,17,3,14
30/10/2025,00:24:00,60.31,60.34,60.31,60.32,51,49,27,23
30/10/2025,00:25:00,60.33,60.37,60.33,60.36,62,61,39,20
30/10/2025,00:26:00,60.36,60.36,60.32,60.32,41,39,31,9
30/10/2025,00:27:00,60.32,60.36,60.32,60.36,36,33,13,20
30/10/2025,00:28:00,60.37,60.37,60.35,60.36,14,13,9,5
30/10/2025,00:29:00,60.36,60.39,60.36,60.37,63,50,37,26
30/10/2025,00:30:00,60.37,60.38,60.37,60.37,116,26,20,96
30/10/2025,00:31:00,60.37,60.37,60.37,60.37,31,30,20,9
30/10/2025,00:32:00,60.37,60.37,60.36,60.36,11,10,7,4
30/10/2025,00:33:00,60.37,60.37,60.37,60.37,8,7,3,5
30/10/2025,00:34:00,60.37,60.38,60.37,60.38,7,7,1,6
30/10/2025,00:35:00,60.37,60.37,60.37,60.37,2,2,1,1
30/10/2025,00:36:00,60.36,60.37,60.33,60.34,41,38,25,16
30/10/2025,00:37:00,60.34,60.35,60.33,60.33,27,27,20,7
30/10/2025,00:38:00,60.34,60.37,60.34,60.37,21,21,6,15
30/10/2025,00:39:00,60.38,60.38,60.37,60.37,11,10,6,5
30/10/2025,00:40:00,60.37,60.37,60.37,60.37,6,6,2,4
30/10/2025,00:41:00,60.36,60.37,60.36,60.37,13,13,4,9
30/10/2025,00:43:00,60.37,60.39,60.37,60.38,21,19,6,14
30/10/2025,00:44:00,60.37,60.37,60.37,60.37,4,4,3,1
30/10/2025,00:45:00,60.36,60.36,60.34,60.35,20,19,18,2
30/10/2025,00:46:00,60.34,60.34,60.33,60.33,5,5,3,2
30/10/2025,00:47:00,60.34,60.34,60.34,60.34,4,4,4,0
